date,total_return_index,close,vix,rf_annual,div_yield
1964-05-13,,80.970001,,0.034800,0.029278
1964-05-14,,80.860001,,0.034800,0.029278
1964-05-15,,81.099998,,0.034700,0.029278
1964-05-18,,80.720001,,0.034600,0.029278
1964-05-19,,80.300003,,0.034700,0.029278
1964-05-20,,80.660004,,0.034900,0.029278
1964-05-21,,80.940002,,0.034800,0.029278
1964-05-22,,80.730003,,0.034700,0.029278
1964-05-25,,80.559998,,0.034600,0.029278
1964-05-26,,80.389999,,0.034600,0.029278
1964-05-27,,80.260002,,0.034800,0.029278
1964-05-28,,80.370003,,0.034700,0.029278
1964-06-01,,80.110001,,0.034700,0.029661
1964-06-02,,79.699997,,0.034700,0.029661
1964-06-03,,79.489998,,0.034800,0.029661
1964-06-04,,78.669998,,0.034700,0.029661
1964-06-05,,79.019997,,0.034700,0.029661
1964-06-08,,78.639999,,0.034600,0.029661
1964-06-09,,79.139999,,0.034600,0.029661
1964-06-10,,79.440002,,0.034700,0.029661
1964-06-11,,79.730003,,0.034800,0.029661
1964-06-12,,79.599998,,0.034800,0.029661
1964-06-15,,79.970001,,0.034900,0.029661
1964-06-16,,80.400002,,0.034900,0.029661
1964-06-17,,80.809998,,0.035000,0.029661
1964-06-18,,80.790001,,0.034900,0.029661
1964-06-19,,80.889999,,0.034800,0.029661
1964-06-22,,81.110001,,0.034800,0.029661
1964-06-23,,80.769997,,0.034700,0.029661
1964-06-24,,81.059998,,0.034700,0.029661
1964-06-25,,81.209999,,0.034700,0.029661
1964-06-26,,81.459999,,0.034700,0.029661
1964-06-29,,81.639999,,0.034700,0.029661
1964-06-30,,81.690002,,0.034700,0.029661
1964-07-01,,82.269997,,0.034800,0.028839
1964-07-02,,82.599998,,0.034800,0.028839
1964-07-06,,82.980003,,0.034800,0.028839
1964-07-07,,83.120003,,0.034900,0.028839
1964-07-08,,83.120003,,0.035000,0.028839
1964-07-09,,83.220001,,0.034800,0.028839
1964-07-10,,83.360001,,0.034300,0.028839
1964-07-13,,83.309998,,0.034300,0.028839
1964-07-14,,83.059998,,0.034400,0.028839
1964-07-15,,83.339996,,0.034400,0.028839
1964-07-16,,83.639999,,0.034200,0.028839
1964-07-17,,84.010002,,0.034400,0.028839
1964-07-20,,83.739998,,0.034600,0.028839
1964-07-21,,83.540001,,0.034600,0.028839
1964-07-22,,83.519997,,0.034800,0.028839
1964-07-23,,83.480003,,0.034500,0.028839
1964-07-24,,83.459999,,0.034500,0.028839
1964-07-27,,83.080002,,0.034500,0.028839
1964-07-28,,82.849998,,0.034600,0.028839
1964-07-29,,82.919998,,0.034700,0.028839
1964-07-30,,83.089996,,0.034700,0.028839
1964-07-31,,83.180000,,0.034700,0.028839
1964-08-03,,83.000000,,0.034700,0.029512
1964-08-04,,81.959999,,0.034700,0.029512
